ADDRESS1,ADDRESS2,ADDRESS3,AREA,CATEGORY,CE_CATEGORY,CITY,CLOSE_DATE,COLLECTION_DAY,CREATED_BY,CREATED_BY_USER,CREATION_DATE,DEPARTMENT,DISTRICT,DIVISION,FOLLOWUP_DATE,FULL_ADDRESS,GROUP_NAME,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_RESOLVED_DATE,INCIDENT_TYPE_ID,LAST_MODIFIED_DATE,LAST_UPDATE_DATE,LAST_UPDATE_LOGIN,LAST_UPDATED_BY,Location 1,MAP_PAGE,MLGW_ON,MLGW_STATUS,NEXT_OPEN_TASK_DATE,NUMBER_OF_TASKS,OWNER_NAME,PARCEL_ID,POSTAL_CODE,REPORTED_DATE,REQUEST_PRIORITY,REQUEST_STATUS,REQUEST_TYPE,RESOLUTION_CODE,RESOLUTION_CODE_MEANING,RESOLUTION_SUMMARY,SR_CREATION_CHANNEL,STATE,STREET_NAME,SUB_DISTRICT,SWM_CODE,TARGET_BLOCK,ZONE,location1,SUMMARY_1,City Council Districts,South City,SC Quarter Mile Buffer,Memphis 3.0 Planning Districts,Shelby County Zip Codes
5150 WALDRUP ST,,,D,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 11:01:38 AM,Solid Waste Management,,Solid Waste Management,,5150 WALDRUP ST MEMPHIS TENNESSEE,Memphis,7182888,7182888,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,5150 WALDRUP ST,,,A,,,,079111  00013,,11/15/2024 10:59:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,WALDRUP ST,,,,D3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
1616 CAMILLE WAY CV,,,E,Recycle,,MEMPHIS,,Thursday,,,11/15/2024 02:19:15 PM,Solid Waste Management,,Solid Waste Management,,1616 CAMILLE WAY CV MEMPHIS TENNESSEE,Memphis,7182984,7182984,,10435,,11/15/2024 03:23:13 PM,,jjackson_AWPM,1616 CAMILLE WAY CV,,,A,,,,096507 A00152,,11/15/2024 02:17:00 PM,Low,Open,SWM-Recycling Missed,,,,WEB,Tennessee,CAMILLE WAY CV,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
796 WRENWOOD LN,,,B,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 08:24:15 AM,Solid Waste Management,,Solid Waste Management,,796 WRENWOOD LN MEMPHIS TENNESSEE,Memphis,7182751,7182751,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,796 WRENWOOD LN,,,A,,,,038084  00033,,11/15/2024 08:23:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,WRENWOOD LN,,,,B3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
30 BODLEY AVE,,,,,,MEMPHIS,,,,,11/15/2024 02:33:24 PM,Environmental Enforcement,,Public Works,,30 BODLEY AVE MEMPHIS TENNESSEE,Memphis,7182997,7182997,,31747,,11/15/2024 02:33:24 PM,,,30 BODLEY AVE,,,,,,,050078  00023,,11/15/2024 08:30:00 AM,Low,Open,EE-Illegal Dumping,,,,WEB,Tennessee,BODLEY AVE,,,130,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
4800 MALLARD NEST DR,,,E,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 03:59:35 PM,Solid Waste Management,,Solid Waste Management,,4800 MALLARD NEST DR MEMPHIS TENNESSEE,Memphis,7183084,7183084,,10431,,11/15/2024 03:59:35 PM,,,4800 MALLARD NEST DR,,,,,,,093724 E00016,,11/15/2024 03:58:00 PM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,MALLARD NEST DR,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
740 E DEMPSTER AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 09:31:23 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 03:29:50 AM,740 E DEMPSTER AVE MEMPHIS TN 38106,MEMPHIS,50076329,50076329,,10204,,11/15/2024 09:31:23 AM,,,740 E DEMPSTER AVE,,,,,,,049063  00023,38106,11/15/2024 09:31:23 AM,Low,In Progress,CW-Weeds Vacant Houses,VIOLATION,,Property in Violation,WEB,TN,E DEMPSTER AVE,,,133,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
6496 KESWICK CV,,,E,Cart Maintenance,,MEMPHIS,,Wednesday,,,11/15/2024 11:01:38 AM,Solid Waste Management,,Solid Waste Management,,6496 KESWICK CV MEMPHIS TENNESSEE,Memphis,7182887,7182887,,10430,,11/15/2024 03:23:13 PM,,jjackson_AWPM,6496 KESWICK CV,,,A,,,,081031  00038,,11/15/2024 10:58:00 AM,Low,Open,SWM-Cart Repair,,,,WEB,Tennessee,KESWICK CV,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
4576 SPRING GLEN DR,,,A,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 08:14:11 AM,Solid Waste Management,,Solid Waste Management,,4576 SPRING GLEN DR MEMPHIS TENNESSEE,Memphis,7182743,7182743,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,4576 SPRING GLEN DR,,,A,,,,090006  00013,,11/15/2024 08:13:00 AM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,SPRING GLEN DR,,,,A1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2748 FIZER RD,,,,Environmental Maintenance,,MEMPHIS,,,,,11/15/2024 04:32:05 PM,ENVIRONMENTAL MAINTENANCE,,Public Works,,2748 FIZER RD MEMPHIS TENNESSEE,Memphis,7183113,7183113,,10693,,11/15/2024 04:32:05 PM,,,2748 FIZER RD,054,,,,,,047070  00025,,11/15/2024 04:29:00 PM,High,Open,EMI-Cave In,,,,WEB,Tennessee,FIZER RD,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
465 BONITA DR,,,D,Garbage,,MEMPHIS,,Wednesday,,,11/15/2024 11:21:41 AM,Solid Waste Management,,Solid Waste Management,,465 BONITA DR MEMPHIS TENNESSEE,Memphis,7182898,7182898,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,465 BONITA DR,,,A,,,,076022  00004,,11/15/2024 11:19:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,BONITA DR,,,,D1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"2674 McVay Rd, Memphis, TN, 38119, USA",,,E,Cart Maintenance,,MEMPHIS,,Wednesday,,,11/15/2024 08:14:11 AM,Solid Waste Management,,Solid Waste Management,,"2674 MCVAY RD, MEMPHIS, TN, 38119, USA",CITIZEN,7182742,7182742,,10441,,11/15/2024 03:27:53 PM,,jjackson_AWPM,"2674 MCVAY RD, MEMPHIS, TN, 38119, USA",,,A,,,,,,11/15/2024 08:07:00 AM,Low,Open,SWM-Missing Cart,,,,WEB,Tennessee,MCVAY RD,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"8720 Cedar Farms Dr, Cordova, TN, 38016, USA",,,E,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 09:47:07 AM,Solid Waste Management,,Solid Waste Management,,"8720 CEDAR FARMS DR, CORDOVA, TN, 38016, USA",CITIZEN,7182835,7182835,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"8720 CEDAR FARMS DR, CORDOVA, TN, 38016, USA",,,A,,,,,,11/15/2024 09:41:00 AM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,CEDAR FARMS DR,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
332 LUNDEE PL,,,B,Recycle,,MEMPHIS,,Thursday,,,11/15/2024 09:02:44 AM,Solid Waste Management,,Solid Waste Management,,332 LUNDEE PL MEMPHIS TENNESSEE,Memphis,7182782,7182782,,10435,,11/15/2024 03:23:13 PM,,jjackson_AWPM,332 LUNDEE PL,,,A,,,,045040  00073,,11/15/2024 09:00:00 AM,Low,Open,SWM-Recycling Missed,,,,WEB,Tennessee,LUNDEE PL,,,,B1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
4579 PARK AVE,,,C,Garbage,,MEMPHIS,,Monday,,,11/15/2024 10:35:35 AM,Solid Waste Management,,Solid Waste Management,,4579 PARK AVE MEMPHIS TENNESSEE,Memphis,7182879,7182879,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,4579 PARK AVE,,,A,,,,065009  00005,,11/15/2024 10:33:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,PARK AVE,,,,C3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
343 JEANNE DR,,,,Maintenance,,MEMPHIS,11/15/2024 11:02:45 AM,,,,11/15/2024 08:03:26 AM,STREET MAINTENANCE,,Public Works,,343 JEANNE DR MEMPHIS TENNESSEE,MEMPHIS,50076295,50076295,,10269,,11/15/2024 11:04:25 AM,,,343 JEANNE DR,071,,,,,,076027  00012,,11/15/2024 02:03:09 AM,High,Closed,PW (SM)-Trees in Street,PWSMTSRD,,Serviced by Public Works,WEB,Tennessee,JEANNE DR,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
496 E BODLEY AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 08:44:43 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 02:41:31 AM,496 E BODLEY AVE MEMPHIS TN 38109,MEMPHIS,50076305,50076305,,10205,,11/15/2024 08:44:43 AM,,,496 E BODLEY AVE,,,,,,,049006  00021C,38109,11/15/2024 08:44:43 AM,Low,In Progress,CW-Weeds Vacant Lots,VIOLATION,,Property in Violation,WEB,TN,E BODLEY AVE,,,133,,POINT (-90.12608 35.08219),Not Applicable,6,,,14,12
234 E CHICKASAW PKWY,,,B,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 08:56:42 AM,Solid Waste Management,,Solid Waste Management,,234 E CHICKASAW PKWY MEMPHIS TENNESSEE,Memphis,7182776,7182776,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,234 E CHICKASAW PKWY,,,A,,,,045044  00008,,11/15/2024 08:54:00 AM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,E CHICKASAW PKWY,,,,B1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"785 N McLean Blvd, Memphis, TN, 38107, USA",,,B,Cart Maintenance,,MEMPHIS,,Friday,,,11/15/2024 06:32:06 AM,Solid Waste Management,,Solid Waste Management,,"785 N MCLEAN BLVD, MEMPHIS, TN, 38107, USA",CITIZEN,7182731,7182731,,10667,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"785 N MCLEAN BLVD, MEMPHIS, TN, 38107, USA",,,A,,,,,,11/15/2024 06:24:00 AM,Low,Open,SWM-Dead Animal Collection,,,,WEB,Tennessee,N MCLEAN BLVD,,,,B3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
3578 LANETTE RD,,,,,,MEMPHIS,,,,,11/15/2024 10:38:59 AM,DRAIN MAINTENANCE,,Public Works,,3578 LANETTE RD MEMPHIS TENNESSEE,Memphis,7182881,7182881,,29760,,11/15/2024 10:38:59 AM,,,3578 LANETTE RD,071,,,,,,075083  00011,,11/15/2024 04:25:00 AM,High,Open,PW (DM)-FLOODING LAND,,,,WEB,Tennessee,LANETTE RD,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
6637 BENT BIRCH CV,,,,Others,,MEMPHIS,,,,,11/15/2024 07:26:36 AM,ENVIRONMENTAL MAINTENANCE,,Public Works,,6637 BENT BIRCH CV MEMPHIS TENNESSEE 38115,MEMPHIS,50076287,50076287,,10694,,11/15/2024 09:03:48 AM,,,6637 BENT BIRCH CV,149,,,,,,093510 P00019,38115,11/15/2024 01:26:00 AM,Low,Open,EMI-Repair Miscellaneous,,,CABLE W/TV,WEB,Tennessee,BENT BIRCH CV,,,,,POINT (-89.84787 35.03498),Not Applicable,3,,,10,14
"762 N Trezevant St, Memphis TN 38112, United States",,,B,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 01:37:10 PM,Solid Waste Management,,Solid Waste Management,,"762 N TREZEVANT ST, MEMPHIS TN 38112, UNITED STATES",MEMPHIS,7182965,7182965,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"762 N TREZEVANT ST, MEMPHIS TN 38112, UNITED STATES",,,A,,,,052014  00020,,11/14/2024 06:00:00 PM,Medium,Open,SWM-Missed Bulk Trash,,,,WEB,TN,N TREZEVANT ST,,,,B2,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
"684 Landis St, Memphis, TN, 38104, USA",,,B,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 09:22:51 AM,Solid Waste Management,,Solid Waste Management,,"684 LANDIS ST, MEMPHIS, TN, 38104, USA",CITIZEN,7182806,7182806,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"684 LANDIS ST, MEMPHIS, TN, 38104, USA",,,A,,,,,,11/15/2024 09:15:00 AM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,LANDIS ST,,,,B3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
1411 FAVELL DR,,,,Cleanup,,MEMPHIS,,,,,11/15/2024 02:41:19 PM,HEAVY EQUIPMENT SERVICES,,Public Works,,1411 FAVELL DR MEMPHIS TENNESSEE,Memphis,7183008,7183008,,10203,,11/15/2024 02:41:19 PM,,,1411 FAVELL DR,,,,,,,078070  00008,,11/15/2024 02:39:00 PM,Low,Open,PW (HE)-Street Cleaning,,,,WEB,Tennessee,FAVELL DR,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
1420 LAMBERT,,,,Miscellaneous,,MEMPHIS,,,,,11/15/2024 02:59:48 PM,Code Enforcement,,Public Works,,1420 LAMBERT MEMPHIS TENNESSEE 38108,Memphis,7183018,7183018,,10396,,11/15/2024 02:59:48 PM,,,1420 LAMBERT,,,,,,,041049  00008,38108,11/15/2024 02:57:00 PM,Low,Open,CE-Code Miscellaneous,,,,WEB,Tennessee,LAMBERT,,,39,,POINT (-89.98073 35.17384),Not Applicable,7,,,7,8
509 S B B KING BLVD,,,,,VIOLATION (NS),MEMPHIS,,,,,11/15/2024 11:16:28 AM,CODE ENFORCEMENT,,Public Works,12/16/2024 11:15:36 AM,509 S B B KING BLVD MEMPHIS TENNESSEE 38103,MEMPHIS,50076384,50076384,,34747,,11/15/2024 11:56:59 AM,,,509 S B B KING BLVD,,,,,,,002135  00004C,38103,11/15/2024 11:15:00 AM,Low,In Progress,COMM-Graffiti,VOM-COMM,,,WEB,Tennessee,S B B KING BLVD,,,90,,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
3461 PHILSDALE AVE,,,C,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 09:08:46 AM,Solid Waste Management,,Solid Waste Management,,3461 PHILSDALE AVE MEMPHIS TENNESSEE,Memphis,7182793,7182793,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,3461 PHILSDALE AVE,,,A,,,,058009  00004,,11/15/2024 09:07:00 AM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,PHILSDALE AVE,,,,C3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
9618 MISTY KNOLL DR,,,E,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 09:33:01 AM,Solid Waste Management,,Solid Waste Management,,9618 MISTY KNOLL DR MEMPHIS TENNESSEE,Memphis,7182819,7182819,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,9618 MISTY KNOLL DR,,,A,,,,096203 G00034,,11/15/2024 09:30:00 AM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,MISTY KNOLL DR,,,,E2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
912 LEACREST AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 09:54:18 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 03:53:40 AM,912 LEACREST AVE MEMPHIS TN 38109,MEMPHIS,50076342,50076342,,10205,,11/15/2024 09:54:18 AM,,,912 LEACREST AVE,,,,,,,075137  00030,38109,11/15/2024 09:54:18 AM,Low,In Progress,CW-Weeds Vacant Lots,VIOLATION,,Property in Violation,WEB,TN,LEACREST AVE,,,163,,POINT (-90.12608 35.08219),Not Applicable,6,,,14,12
2160 PAMELA DR,,,A,Billing,,MEMPHIS,,Thursday,,,11/15/2024 02:57:28 PM,Solid Waste Management,,Solid Waste Management,,2160 PAMELA DR MEMPHIS TENNESSEE,Memphis,7183016,7183016,,10442,,11/15/2024 03:23:13 PM,,jjackson_AWPM,2160 PAMELA DR,,,A,,,,072091  00019,,11/15/2024 02:54:00 PM,Low,Open,SWM-New Start Garbage Request,,,,WEB,Tennessee,PAMELA DR,,,,A2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
4839 DURBIN AVE,,,B,Cart Maintenance,,MEMPHIS,,Monday,,,11/15/2024 12:19:01 PM,Solid Waste Management,,Solid Waste Management,,4839 DURBIN AVE MEMPHIS TENNESSEE,Memphis,7182932,7182932,,10441,,11/15/2024 03:23:13 PM,,jjackson_AWPM,4839 DURBIN AVE,,,A,,,,063049  00011,,11/15/2024 12:16:00 PM,Low,Open,SWM-Missing Cart,,,,WEB,Tennessee,DURBIN AVE,,,,B1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
3215 MEADOWBROOK RD,,,D,Service,,MEMPHIS,,Friday,,,11/15/2024 12:02:58 PM,Solid Waste Management,,Solid Waste Management,,3215 MEADOWBROOK RD MEMPHIS TENNESSEE,Memphis,7182922,7182922,,10439,,11/15/2024 03:23:13 PM,,jjackson_AWPM,3215 MEADOWBROOK RD,,,A,,,,075065  00012,,11/15/2024 12:00:00 PM,Low,Open,SWM-Service Quality,,,,WEB,Tennessee,MEADOWBROOK RD,,,,D3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
958 NEFLER AVE,,,C,Cart Maintenance,,MEMPHIS,,Friday,,,11/15/2024 09:45:06 AM,Solid Waste Management,,Solid Waste Management,,958 NEFLER AVE MEMPHIS TENNESSEE,Memphis,7182831,7182831,,17747,,11/15/2024 03:23:13 PM,,jjackson_AWPM,958 NEFLER AVE,,,A,,,,034077  00015,,11/15/2024 09:41:00 AM,Low,Open,SWM-Contaminated Recycle Cart,,,,WEB,Tennessee,NEFLER AVE,,,,C2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
0 EYERS RD,,,,Weeds,,MEMPHIS,,,,,11/15/2024 11:06:41 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 05:05:45 AM,0 EYERS RD MEMPHIS TN 38109,MEMPHIS,50076380,50076380,,10205,,11/15/2024 11:06:41 AM,,,0 EYERS RD,,,,,,,075087  00470,38109,11/15/2024 11:06:41 AM,Low,In Progress,CW-Weeds Vacant Lots,VIOLATION,,Property in Violation,WEB,TN,EYERS RD,,,160,,POINT (-90.12608 35.08219),Not Applicable,6,,,14,12
"1599 Rice St, Memphis, TN, 38108, USA",,,A,Recycle,,MEMPHIS,,Wednesday,,,11/15/2024 04:03:57 PM,Solid Waste Management,,Solid Waste Management,,"1599 RICE ST, MEMPHIS, TN, 38108, USA",CITIZEN,7183089,7183089,,10435,,11/15/2024 04:03:57 PM,,,"1599 RICE ST, MEMPHIS, TN, 38108, USA",,,,,,,,,11/15/2024 03:59:00 PM,Low,Open,SWM-Recycling Missed,,,,WEB,Tennessee,RICE ST,,,,A2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
3596 NELIA CV,,,D,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 09:35:02 AM,Solid Waste Management,,Solid Waste Management,,3596 NELIA CV MEMPHIS TENNESSEE,Memphis,7182822,7182822,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,3596 NELIA CV,,,A,,,,078040  00022,,11/15/2024 09:32:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,NELIA CV,,,,D2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"2670-2680 Broad Ave, Memphis, TN, 38112, USA",,,,Maintenance,,MEMPHIS,,,,,11/15/2024 04:01:33 PM,Traffic Signs,,Engineering,,"2670-2680 BROAD AVE, MEMPHIS, TN, 38112, USA",CITIZEN,7183085,7183085,,10370,,11/15/2024 04:01:33 PM,,,"2670-2680 BROAD AVE, MEMPHIS, TN, 38112, USA",,,,,,,,,11/15/2024 09:57:00 AM,High,Open,EN-Maintain Signs,,,,WEB,Tennessee,BROAD AVE,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
252 EASTLAND DR,,,B,Cart Maintenance,,MEMPHIS,,Wednesday,,,11/15/2024 04:44:03 PM,Solid Waste Management,,Solid Waste Management,,252 EASTLAND DR MEMPHIS TENNESSEE,Memphis,7183114,7183114,,10441,,11/15/2024 04:44:03 PM,,,252 EASTLAND DR,,,,,,,044125  00045,,11/15/2024 04:41:00 PM,Low,Open,SWM-Missing Cart,,,,WEB,Tennessee,EASTLAND DR,,,,B3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
3824 PARK AVE,,,,Others,,MEMPHIS,11/15/2024 12:00:00 AM,,,,11/15/2024 02:11:05 PM,ENVIRONMENTAL MAINTENANCE,,Public Works,,3824 PARK AVE MEMPHIS TENNESSEE,Memphis,7182972,7182972,,10687,,11/15/2024 06:12:52 PM,,,3824 PARK AVE,045,,,,,,046037  00026,,11/15/2024 02:08:00 PM,Low,Closed,EMI-Sewage Spill/Overflow,,,"MT-238
TOOK CARE OF THIS WHEN CLEARED   M/H O/F @ 3966 PARK AVE & GOODLETT",WEB,Tennessee,PARK AVE,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2973 CHURCHILL ST,,,D,Billing,,MEMPHIS,,Monday,,,11/15/2024 02:31:18 PM,Solid Waste Management,,Solid Waste Management,,2973 CHURCHILL ST MEMPHIS TENNESSEE,Memphis,7182995,7182995,,10567,,11/15/2024 03:23:13 PM,,jjackson_AWPM,2973 CHURCHILL ST,,,A,,,,074055  00009,,11/15/2024 02:29:00 PM,Low,Open,SWM-Pick-Up Extra Cart,,,,WEB,Tennessee,CHURCHILL ST,,,,D1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
400 W LEVI RD,,,D,Cart Maintenance,,MEMPHIS,,Friday,,,11/15/2024 08:44:21 AM,Solid Waste Management,,Solid Waste Management,,400 W LEVI RD MEMPHIS TENNESSEE,Memphis,7182767,7182767,,10430,,11/15/2024 03:23:13 PM,,jjackson_AWPM,400 W LEVI RD,,,A,,,,075087 D00036,,11/15/2024 08:41:00 AM,Low,Open,SWM-Cart Repair,,,,WEB,Tennessee,W LEVI RD,,,,D2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
400 PONTOTOC AVE,,,,,,MEMPHIS,,,,,11/15/2024 10:23:35 AM,DRAIN MAINTENANCE,,Public Works,11/22/2024 04:21:31 AM,400 PONTOTOC AVE MEMPHIS TN 38126,MEMPHIS,50076359,50076359,,29748,,11/15/2024 10:23:35 AM,,,400 PONTOTOC AVE,035,,,,,,005013 B00001,38126,11/15/2024 04:22:00 AM,High,Open,PW (DM)-CAVITY OFF STREET,,,,WEB,TN,PONTOTOC AVE,,,,,POINT (-90.04111 35.13145),Not Applicable,6,1,1,8,22
"Yeiser Ted M Jr Atty, 262 German Oak Dr, Cordova, TN, 38018, USA",,,E,Garbage,,MEMPHIS,,Wednesday,,,11/15/2024 03:35:11 PM,Solid Waste Management,,Solid Waste Management,,"YEISER TED M JR ATTY, 262 GERMAN OAK DR, CORDOVA, TN, 38018, USA",CITIZEN,7183060,7183060,,10432,,11/15/2024 03:35:11 PM,,,"YEISER TED M JR ATTY, 262 GERMAN OAK DR, CORDOVA, TN, 38018, USA",,,,,,,,,11/15/2024 03:33:00 PM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,"YEISER TED M JR ATTY, 262 GERMAN OAK DR, CORDOVA, TN, 38018, USA",,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
47 W BISCAYNE RD,,,,Inspection-Junky Yard,,MEMPHIS,,,,,11/14/2024 12:39:39 PM,Code Enforcement,,Public Works,,47 W BISCAYNE RD MEMPHIS TENNESSEE 38109,Memphis,7182513,7182513,,10395,,11/15/2024 02:35:33 PM,,,47 W BISCAYNE RD,,,,,,,075065  00005,38109,11/14/2024 12:35:00 PM,Low,Open,CE-Junky Yard,,,,WEB,Tennessee,W BISCAYNE RD,,,156,,POINT (-90.12608 35.08219),Not Applicable,6,,,14,12
333 S PARKWAY,,,,Weeds,,MEMPHIS,,,,,11/15/2024 02:10:42 PM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 08:10:03 AM,333 S PARKWAY MEMPHIS TN 38106,MEMPHIS,50076407,50076407,,10205,,11/15/2024 02:10:42 PM,,,333 S PARKWAY,,,,,,,034002  00001,38106,11/15/2024 02:10:42 PM,Low,In Progress,CW-Weeds Vacant Lots,VIOLATION,,Property in Violation,WEB,TN,S PARKWAY,,,126,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
2214 HENRY AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 03:35:20 PM,STREET MAINTENANCE,,Public Works,,2214 HENRY AVE MEMPHIS TENNESSEE,Memphis,7183055,7183055,,10398,,11/15/2024 03:35:20 PM,,,2214 HENRY AVE,030,,,,,,052002  00025,,11/15/2024 03:32:00 PM,Low,Open,PW (ROW)-Right of Way Weeds,,,,WEB,Tennessee,HENRY AVE,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
1519 SWIFT ST,,,,Others,,MEMPHIS,,,,,11/15/2024 07:30:04 AM,ENVIRONMENTAL MAINTENANCE,,Public Works,,1519 SWIFT ST MEMPHIS TENNESSEE 38109,MEMPHIS,50076289,50076289,,10694,,11/15/2024 07:30:04 AM,,,1519 SWIFT ST,041,,,,,,035003  00011,38109,11/15/2024 01:29:00 AM,Low,Open,EMI-Repair Miscellaneous,,,TV-M/L,WEB,Tennessee,SWIFT ST,,,,,POINT (-90.12608 35.08219),Not Applicable,6,,,14,12
1801 GROVEHAVEN CIR,,,,Cleanup,,MEMPHIS,,,,,11/15/2024 02:33:19 PM,HEAVY EQUIPMENT SERVICES,,Public Works,,1801 GROVEHAVEN CIR MEMPHIS TENNESSEE,Memphis,7183000,7183000,,10203,,11/15/2024 02:33:19 PM,,,1801 GROVEHAVEN CIR,,,,,,,079014  00019,,11/15/2024 02:32:00 PM,Low,Open,PW (HE)-Street Cleaning,,,,WEB,Tennessee,GROVEHAVEN CIR,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"Mile 1.7 State Rte 57, Memphis, TN, 38112, USA",,,,Inspection-Structures,,MEMPHIS,,,,,11/15/2024 11:25:43 AM,Code Enforcement,,Public Works,,"MILE 1.7 STATE RTE 57, MEMPHIS, TN, 38112, USA",CITIZEN,7182901,7182901,,10409,,11/15/2024 11:25:43 AM,,,"MILE 1.7 STATE RTE 57, MEMPHIS, TN, 38112, USA",,,,,,,,38112,11/15/2024 11:09:00 AM,Low,Open,"CE-Substandard,Derelict Struc",,,,WEB,Tennessee,"MILE 1.7 STATE RTE 57, MEMPHIS, TN, 38112, USA",,,56,,POINT (-89.97593 35.14428),Not Applicable,4,,,9,11
